product_variant,image,alt_text
28098,https://ceyo.witcdn.net/ceyo-kadin-sabo-toucan-35-40-yazlik-terlk-23684-13-B.jpg,image for 28098
28097,https://ceyo.witcdn.net/ceyo-kadin-sabo-toucan-35-40-yazlik-terlk-23684-13-B.jpg,image for 28097
28096,https://ceyo.witcdn.net/ceyo-kadin-sabo-wonderwalk-2-35-41-kilik-terlk-22380-13-B.jpg,image for 28096
28095,https://ceyo.witcdn.net/ceyo-kadin-sabo-wonderwalk-2-35-41-kilik-terlk-22380-13-B.jpg,image for 28095
28094,https://ceyo.witcdn.net/ceyo-kadin-sabo-wonderwalk-2-35-41-kilik-terlk-22380-13-B.jpg,image for 28094
28093,https://ceyo.witcdn.net/ceyo-kadin-sabo-wonderwalk-2-35-41-kilik-terlk-22380-13-B.jpg,image for 28093
28092,https://ceyo.witcdn.net/ceyo-kadin-sabo-wonderwalk-2-35-41-kilik-terlk-22380-13-B.jpg,image for 28092
28091,https://ceyo.witcdn.net/ceyo-kadin-sabo-wonderwalk-2-35-41-kilik-terlk-22380-13-B.jpg,image for 28091
28089,https://ceyo.witcdn.net/ceyo-kadin-sabo-toucan-35-40-yazlik-terlk-22269-13-B.jpg,image for 28089
28088,https://ceyo.witcdn.net/ceyo-kadin-sabo-toucan-35-40-yazlik-terlk-22269-13-B.jpg,image for 28088
28087,https://ceyo.witcdn.net/ceyo-kadin-sabo-toucan-35-40-yazlik-terlk-22269-13-B.jpg,image for 28087
28086,https://ceyo.witcdn.net/ceyo-kadin-sabo-toucan-35-40-yazlik-terlk-22269-13-B.jpg,image for 28086
28085,https://ceyo.witcdn.net/ceyo-kadin-sabo-toucan-35-40-yazlik-terlk-22269-13-B.jpg,image for 28085
28083,https://ceyo.witcdn.net/ceyo-kadin-sabo-toucan-35-40-yazlik-terlk-23682-13-B.jpg,image for 28083
28082,https://ceyo.witcdn.net/ceyo-kadin-sabo-toucan-35-40-yazlik-terlk-23682-13-B.jpg,image for 28082
28081,https://ceyo.witcdn.net/ceyo-kadin-sabo-toucan-35-40-yazlik-terlk-23682-13-B.jpg,image for 28081
